resultid,user,datetime,SysBenchVer,JuliaVer,OS,CPU,WORD_SIZE,LIBM,LLVM,GPU,FloatMul,FusedMulAdd,FloatSin,VecMulBroad,CPUMatMul,MatMulBroad,3DMulBroad,peakflops,FFMPEGH264Write,DeepCopy,Bandwidth10kB,Bandwidth100kB,Bandwidth1MB,Bandwidth10MB,Bandwidth100MB,DiskWrite1KB,DiskWrite1MB,DiskRead1KB,DiskRead1MB,JuliaLoad,compilecache,CPU_THREADS,BLAS,BLAS_threads,GPUMatMul,success_create_expr_cache,create_expr_cache,output-ji-substart,mean_cpu,mean_diskio
ref,ref,2020-05-10,0.3.0,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",GeForce GTX 1650 with Max-Q Design,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
res_1,@nilshg,2020-05-10T06:26:31.0,0.2.0,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, sandybridge)",,1.5855379188712524,0.02380952380952381,1.4085411009627253,1.6831903315693841,3.509661189316491,1.290884115292613,1.6492544401177698,0.16186540192892204,2.102925720541175,1.3084819731601258,,,,,,2.1074776610754036,3.686205779673323,2.3440726148321778,1.3851970366248132,1.6979562902906167,1.885542872706614,,,,,,2.022539888114203,,1.523481581362749,2.3807382730514295
res_2,@CarloLucibello,2020-05-10T08:41:53.0,0.2.0,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",GeForce GTX 1650 with Max-Q Design,1.358024691358025,0.018518518518518524,1.321155270303629,1.15688838877088,2.5231761494406677,1.0073893375648344,1.1907113686010067,0.24105347498416307,1.1891719403908647,0.9696313020997721,,,,,,1.0299733500548676,1.7869087834165895,0.9974814223729489,1.0458488400403465,1.0858734558294343,1.716251012272216,,,,0.9974645856109419,,1.2136857668829673,,1.206833811319675,1.2150530989711883
res_3,@yakir12,2020-05-10T10:25:27.0,0.2.0,1.4.1,Linux (x86_64-linux-gnu),AMD Ryzen Threadripper 2950X 16-Core Processor,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, znver1)",,1.0255731922398592,0.017636684303350973,0.7568501604542088,0.9879692660241289,2.917411550607504,0.9390912535821708,1.315984423971887,1.0574546239959322,1.491068412450418,0.9396661446660585,,,,,,0.8120395046245493,0.9450536491415702,0.8846726561553753,0.7892525477374701,1.4924355007029502,1.1905348106624103,,,,,,1.5052397536812485,,1.005093659254451,0.8577545894147411
res_4,@samuelpowell,2020-05-10T14:15:06.0,0.2.0,1.4.1,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.6825396825396826,0.030864197530864203,1.3594174277956061,1.7043522657983456,2.1144088208531815,5.532751699310802,1.605992971792193,0.784240872392195,2.9025655802303407,1.1392608325863058,,,,,,6.4117886816115375,2.7318825457691522,141.40367063986832,14.351445167124623,2.6640781199478045,2.086360467219965,,,,,,12.66459201499565,,2.377010809447326,41.22469675859341
res_5,@samuelpowell,2020-05-10T14:16:28.0,0.2.0,1.4.0,Windows (x86_64-w64-mingw32),Intel(R) Xeon(R) W-2123 CPU @ 3.60GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",GeForce RTX 2060,1.234567901234568,0.0008818342151675487,1.1599605035793632,1.2946292928859195,2.1569876358186586,1.2214399058062466,1.0923164593028776,0.8688214917257661,1.3533855176200738,1.039236971780462,,,,,,8.95441291738517,0.6753955211227192,25.719340681262782,2.532085840492505,2.215043952900979,1.666167950479413,,,,0.7431788048661347,,6.509484681129953,,1.200582812561795,9.470308740065795
res_6,@samuelpowell,2020-05-10T15:48:53.0,0.2.0,1.4.1,Linux (aarch64-unknown-linux-gnu),unknown,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, cortex-a53)",,5.281305114638449,0.09171075837742505,15.87723834692956,13.18792235868939,12.474923727452763,7.339364801174715,10.288726374774432,0.020126562976427155,10.105334934266292,9.617750019368643,,,,,,17.457751998745884,64.13999100050867,17.704503516034112,15.155058954471148,8.573052098447032,8.946384532387986,,,,,,90.03774356186936,,10.39491139924131,28.614326367439954
res_7,@knuesel,2020-05-10T15:50:53.0,0.2.0,1.4.0,Linux (x86_64-pc-linux-gnu),06/8e,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,3.090828924162258,1.3280423280423284,2.1507560386849454,1.795746879443571,2.026360862816464,1.1526216246392451,2.0181878620951657,0.37586710466038914,2.344209176726967,1.4799322505342782,,,,,,0.9778962219783665,231.7336041875894,2.8699067378185625,4.656422385308337,1.7162840269234505,1.6756408997734207,,,,,,7.271096579229326,,2.041628265805037,60.059457383173665
res_8,@rsrock,2020-05-10T16:56:23.0,0.2.0,1.4.2-pre.0,macOS (x86_64-apple-darwin19.4.0),Intel(R) Core(TM) i9-9880H CPU @ 2.30GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.514109347442681,0.0343915343915344,1.4085411009627253,1.2874797213816689,0.8916662206283786,0.6098177138842179,1.5143050286882727,1.2525041495052245,2.0039893843730217,0.8971983967919753,,,,,,3.7628311647593664,0.7569615630420888,10.892823300583512,6.191047267921116,2.3534776508021205,1.6746008248830797,,,,,,11.940371938630573,,1.266850582471913,5.40091582407652
res_9,@natgeo-wong,2020-05-10T19:29:04.0,0.2.0,1.4.1,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-7820HQ CPU @ 2.90GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.4673721340388008,0.03703703703703705,1.1764996297210566,1.564465302188739,1.8421827329657974,4.605635554081898,1.5291100769303827,0.6788835544507503,1.4851218458662836,1.0066138804071676,,,,,,6.855604326696975,0.4059379252477034,89.34646651039847,12.194090640325555,1.859195326768807,1.5188057235255663,,,,,,8.914884479368679,,2.0686165393921754,27.200524850667176
